PLAYUC,TIME,SCORE,MAR,PLAYVisitor
,09:17,,,ASSISTbyWatersLindy
GOOD!3PTRbyAdamsJalen,08:57,55-71,-16,
ASSISTbyPurvisRodney,08:57,,,
,08:21,55-73,-18,GOOD!JUMPERbyFortePhil[PNT]
GOOD!LAYUPbyAdamsJalen[FB/PNT],08:13,57-73,-16,
FOULbyAdamsJalen(P3T9),08:06,,,MISSEDFTSHOTbyEvansJawun
,08:06,,,REBOUND(OFF)by(DEADBALL)
,08:06,57-74,-17,GOOD!FTSHOTbyEvansJawun
SUBIN:DurhamJuwan,08:06,,,SUBIN:HammondsLeyton
SUBIN:JacksonVance,08:06,,,SUBIN:CarrollJeffrey
SUBOUT:PurvisRodney,08:06,,,SUBOUT:WatersLindy
SUBOUT:EnochSteven,08:06,,,SUBOUT:ShineTavarius
GOOD!LAYUPbyAdamsJalen[PNT],07:58,59-74,-15,
FOULbyFaceyKentan(P4T10),07:47,,,
,07:47,,,TIMEOUTMEDIA
,07:47,59-75,-16,GOOD!FTSHOTbyMcGriffCameron
REBOUND(DEF)byDurhamJuwan,07:47,,,MISSEDFTSHOTbyMcGriffCameron
SUBIN:BrimahAmida,07:47,,,
SUBOUT:FaceyKentan,07:47,,,
GOOD!3PTRbyJacksonVance,07:35,62-75,-13,
ASSISTbyAdamsJalen,07:35,,,
,07:21,,,TURNOVRbyMcGriffCameron
GOOD!3PTRbyDurhamJuwan,07:07,65-75,-10,
ASSISTbyAdamsJalen,07:07,,,
,07:05,,,TIMEOUT30sec
,07:05,,,SUBIN:WatersLindy
,07:05,,,SUBOUT:McGriffCameron
FOULbyAdamsJalen(P4T11),06:55,65-76,-11,GOOD!FTSHOTbyEvansJawun
,06:55,65-77,-12,GOOD!FTSHOTbyEvansJawun
,06:55,,,SUBIN:ShineTavarius
,06:55,,,SUBOUT:FortePhil
TIMEOUT30sec,06:49,,,
,06:49,,,SUBIN:McGriffCameron
,06:49,,,SUBOUT:WatersLindy
GOOD!FTSHOTbyAdamsJalen,06:36,66-77,-11,FOULbyCarrollJeffrey(P3T12)
GOOD!FTSHOTbyAdamsJalen,06:36,67-77,-10,
,06:36,,,SUBIN:FortePhil
,06:36,,,SUBOUT:McGriffCameron
,06:17,,,TURNOVRbyHammondsLeyton
GOOD!JUMPERbyAdamsJalen,06:02,69-77,-8,
,05:48,69-79,-10,GOOD!LAYUPbyEvansJawun[PNT]
SUBIN:PurvisRodney,05:43,,,SUBIN:McGriffCameron
SUBOUT:DurhamJuwan,05:43,,,SUBOUT:CarrollJeffrey
GOOD!LAYUPbyBrimahAmida[FB/PNT],05:38,71-79,-8,
ASSISTbyPurvisRodney,05:38,,,
FOULbyPurvisRodney(P3T12),05:14,71-80,-9,GOOD!FTSHOTbyEvansJawun
REBOUND(DEF)byBrimahAmida,05:14,,,MISSEDFTSHOTbyEvansJawun
GOOD!FTSHOTbyBrimahAmida,05:14,72-80,-8,FOULbyMcGriffCameron(P3T13)
MISSEDFTSHOTbyBrimahAmida,05:14,,,REBOUND(DEF)byShineTavarius
,04:58,,,MISSEDLAYUPbyEvansJawun
,04:58,,,REBOUND(OFF)byEvansJawun
FOULbyJacksonVance(P3T13),04:57,72-81,-9,GOOD!FTSHOTbyEvansJawun
,04:57,72-82,-10,GOOD!FTSHOTbyEvansJawun
,04:57,,,SUBIN:WatersLindy
,04:57,,,SUBOUT:EvansJawun
GOOD!FTSHOTbyVitalChristian,04:41,73-82,-9,FOULbyShineTavarius(P2T14)
GOOD!FTSHOTbyVitalChristian,04:41,74-82,-8,
SUBIN:FaceyKentan,04:41,,,
SUBOUT:JacksonVance,04:41,,,
,04:16,74-84,-10,GOOD!LAYUPbyMcGriffCameron[PNT]
MISSED3PTRbyVitalChristian,04:08,,,BLOCKbyMcGriffCameron
,04:03,,,REBOUND(DEF)byHammondsLeyton
FOULbyPurvisRodney(P4T14),03:37,,,
,03:37,,,TIMEOUTMEDIA
,03:37,74-85,-11,GOOD!FTSHOTbyHammondsLeyton
,03:37,74-86,-12,GOOD!FTSHOTbyHammondsLeyton
SUBIN:JacksonVance,03:37,,,SUBIN:CarrollJeffrey
SUBOUT:FaceyKentan,03:37,,,SUBIN:EvansJawun
,03:37,,,SUBOUT:ShineTavarius
,03:37,,,SUBOUT:WatersLindy
GOOD!3PTRbyPurvisRodney,03:15,77-86,-9,
ASSISTbyAdamsJalen,03:15,,,
,02:39,77-88,-11,GOOD!LAYUPbyEvansJawun[PNT]
GOOD!3PTRbyAdamsJalen,02:30,80-88,-8,
ASSISTbyPurvisRodney,02:30,,,
SUBIN:FaceyKentan,02:28,,,SUBIN:ShineTavarius
SUBOUT:JacksonVance,02:28,,,SUBOUT:CarrollJeffrey
REBOUND(DEF)byAdamsJalen,01:56,,,MISSED3PTRbyShineTavarius
MISSEDFTSHOTbyVitalChristian,01:49,,,FOULbyHammondsLeyton(P5T15)
REBOUND(OFF)by(DEADBALL),01:49,,,
GOOD!FTSHOTbyVitalChristian,01:49,81-88,-7,
,01:49,,,SUBIN:CarrollJeffrey
,01:49,,,SUBOUT:HammondsLeyton
,01:33,81-91,-10,GOOD!3PTRbyCarrollJeffrey
,01:33,,,ASSISTbyEvansJawun
GOOD!FTSHOTbyAdamsJalen,01:26,82-91,-9,FOULbyEvansJawun(P4T16)
MISSEDFTSHOTbyAdamsJalen,01:26,,,REBOUND(DEF)byCarrollJeffrey
BLOCKbyBrimahAmida,01:14,,,MISSEDLAYUPbyEvansJawun
REBOUND(DEF)byBrimahAmida,01:14,,,
TIMEOUTTEAM,01:14,,,
SUBIN:JacksonVance,01:14,,,
SUBOUT:FaceyKentan,01:14,,,
GOOD!FTSHOTbyAdamsJalen,01:07,83-91,-8,FOULbyFortePhil(P2T17)
GOOD!FTSHOTbyAdamsJalen,01:07,84-91,-7,
BLOCKbyVitalChristian,00:38,,,MISSEDLAYUPbyEvansJawun
,00:38,,,REBOUND(OFF)by(TEAM)
,00:36,84-93,-9,GOOD!JUMPERbyEvansJawun
