PLAYHome,TIME,SCORE,MAR,PLAYUC
,14:44,,,SUBIN:DurhamJuwan
,14:44,,,SUBOUT:PurvisRodney
,14:35,56-59,3,GOOD!LAYUPbyAdamsJalen[PNT]
GOOD!JUMPERbyDalySam[PNT],14:16,58-59,1,
,13:56,58-61,3,GOOD!JUMPERbyAdamsJalen
,13:42,,,FOULbyAdamsJalen(P1T2)
SUBIN:PollardNate,13:42,,,SUBIN:PurvisRodney
SUBIN:WalkerDantley,13:42,,,SUBOUT:VitalChristian
SUBOUT:KuanyKuany,13:42,,,
SUBOUT:PopeAustin,13:42,,,
MISSED3PTRbyGoodwinRohndell,13:39,,,REBOUND(DEF)byFaceyKentan
REBOUND(DEF)byGoodwinRohndell,13:25,,,MISSED3PTRbyPurvisRodney
GOOD!JUMPERbyDalySam,13:14,60-61,1,
BLOCKbyGoodwinRohndell,12:41,,,MISSED3PTRbyJacksonVance
,12:40,,,REBOUND(OFF)by(TEAM)
,12:39,60-63,3,GOOD!JUMPERbyBrimahAmida
,12:39,,,ASSISTbyPurvisRodney
,12:31,,,SUBIN:BrimahAmida
,12:31,,,SUBOUT:FaceyKentan
,12:19,,,FOULbyDurhamJuwan(P1T3)
,12:12,,,FOULbyPurvisRodney(P1T4)
MISSEDLAYUPbyGoodwinRohndell,11:57,,,BLOCKbyDurhamJuwan
,11:55,,,REBOUND(DEF)byBrimahAmida
BLOCKbyPollardNate,11:48,,,MISSEDLAYUPbyBrimahAmida
REBOUND(DEF)byGoodwinRohndell,11:46,,,
GOOD!LAYUPbyGoodwinRohndell[FB/PNT],11:43,62-63,1,
FOULbyPollardNate(P2T4),11:29,,,
,11:29,,,TIMEOUTmedia
SUBIN:PopeAustin,11:29,,,
SUBOUT:DalySam,11:29,,,
REBOUND(DEF)byPollardNate,11:21,,,MISSEDJUMPERbyPurvisRodney
TURNOVRbyShastriKiran,11:03,,,
,11:02,,,STEALbyBrimahAmida
,10:57,,,MISSEDLAYUPbyPurvisRodney
,10:57,,,REBOUND(OFF)byJacksonVance
,10:53,,,MISSEDLAYUPbyJacksonVance
,10:53,,,REBOUND(OFF)byPurvisRodney
,10:43,62-65,3,GOOD!DUNKbyBrimahAmida[PNT]
,10:43,,,ASSISTbyAdamsJalen
MISSED3PTRbyGoodwinRohndell,10:27,,,REBOUND(DEF)byJacksonVance
,10:13,62-67,5,GOOD!DUNKbyBrimahAmida[PNT]
,10:13,,,ASSISTbyJacksonVance
FOULbyPollardNate(P3T5),10:13,62-68,6,GOOD!FTSHOTbyBrimahAmida
