PLAYUC,TIME,SCORE,MAR,PLAYVisitor
MISSEDFTSHOTbyAdamsJalen,12:40,,,FOULbyHOWARDFRANK(P2T6)
REBOUND(OFF)by(DEADBALL),12:40,,,
GOOD!FTSHOTbyAdamsJalen,12:40,27-37,-10,
GOOD!FTSHOTbyAdamsJalen,12:40,28-37,-9,
REBOUND(DEF)byBrimahAmida,12:21,,,MISSEDLAYUPbyROBERSONTYLER
GOOD!LAYUPbyPurvisRodney[PNT],12:01,30-37,-7,
ASSISTbyAdamsJalen,12:01,,,
,11:41,30-40,-10,GOOD!3PTRbyLYDONTYLER
,11:41,,,ASSISTbyBATTLETYUS
GOOD!3PTRbyPurvisRodney,11:14,33-40,-7,
ASSISTbyAdamsJalen,11:14,,,
REBOUND(DEF)byAdamsJalen,10:54,,,MISSEDLAYUPbyROBERSONTYLER
,10:49,,,FOULbyHOWARDFRANK(P3T7)
TIMEOUTMEDIA,10:49,,,
GOOD!FTSHOTbyAdamsJalen,10:49,34-40,-6,
GOOD!FTSHOTbyAdamsJalen,10:49,35-40,-5,
SUBIN:FaceyKentan,10:49,,,SUBIN:COLEMANDAJUAN
SUBIN:EnochSteven,10:49,,,SUBOUT:ROBERSONTYLER
SUBOUT:DurhamJuwan,10:49,,,
SUBOUT:BrimahAmida,10:49,,,
,10:18,,,MISSEDLAYUPbyLYDONTYLER
,10:18,,,REBOUND(OFF)by(TEAM)
,10:18,,,TURNOVRby(TEAM)
TURNOVRbyEnochSteven,10:02,,,
FOULbyEnochSteven(P3T4),09:40,35-41,-6,GOOD!FTSHOTbyHOWARDFRANK
,09:40,35-42,-7,GOOD!FTSHOTbyHOWARDFRANK
SUBIN:VitalChristian,09:40,,,
SUBOUT:JacksonVance,09:40,,,
MISSEDJUMPERbyEnochSteven,09:20,,,REBOUND(DEF)byWHITEIIIANDREW
,09:05,35-44,-9,GOOD!JUMPERbyCOLEMANDAJUAN
GOOD!3PTRbyPurvisRodney,08:39,38-44,-6,
ASSISTbyAdamsJalen,08:39,,,
REBOUND(DEF)byAdamsJalen,08:18,,,MISSEDJUMPERbyWHITEIIIANDREW
MISSED3PTRbyVitalChristian,08:09,,,
REBOUND(OFF)byFaceyKentan,08:09,,,
GOOD!LAYUPbyFaceyKentan[PNT],08:06,40-44,-4,
,08:01,,,TIMEOUT30sec
SUBIN:BrimahAmida,08:01,,,
SUBOUT:EnochSteven,08:01,,,
FOULbyAdamsJalen(P1T5),07:56,,,
,07:39,,,TURNOVRbyBATTLETYUS
STEALbyVitalChristian,07:37,,,
GOOD!JUMPERbyAdamsJalen,07:13,42-44,-2,
ASSISTbyFaceyKentan,07:13,,,
BLOCKbyBrimahAmida,06:40,,,MISSEDLAYUPbyBATTLETYUS
REBOUND(DEF)byFaceyKentan,06:38,,,
GOOD!3PTRbyPurvisRodney,06:18,45-44,1,
ASSISTbyAdamsJalen,06:18,,,
,06:18,,,TIMEOUT30sec
BLOCKbyBrimahAmida,05:55,,,MISSEDLAYUPbyHOWARDFRANK
REBOUND(DEF)byAdamsJalen,05:53,,,
MISSEDFTSHOTbyAdamsJalen,05:48,,,FOULbyCOLEMANDAJUAN(P3T8)
REBOUND(OFF)by(DEADBALL),05:48,,,
GOOD!FTSHOTbyAdamsJalen,05:48,46-44,2,
BLOCKbyBrimahAmida,05:33,,,MISSEDLAYUPbyWHITEIIIANDREW
,05:30,,,REBOUND(OFF)byHOWARDFRANK
REBOUND(DEF)by(TEAM),05:29,,,MISSEDLAYUPbyHOWARDFRANK
TURNOVRbyVitalChristian,05:09,,,
,04:46,,,TURNOVRbyCOLEMANDAJUAN
TURNOVRbyFaceyKentan,04:28,,,
,04:27,,,STEALbyHOWARDFRANK
REBOUND(DEF)byPurvisRodney,04:22,,,MISSED3PTRbyLYDONTYLER
TURNOVRbyAdamsJalen,03:54,,,
,03:54,,,TIMEOUTMEDIA
