PLAYHome,TIME,SCORE,MAR,PLAYUC
TURNOVRbyBROWNBrandon,05:36,,,
,05:35,,,STEALbyAdamsJalen
REBOUND(DEF)byBROWNBrandon,05:32,,,MISSEDLAYUPbyVitalChristian
GOOD!3PTRbyHANEYSteven,05:25,57-56,-1,
ASSISTbyAMAYOKelvin,05:25,,,
TIMEOUT30sec,05:22,,,
REBOUND(DEF)byHANEYSteven,05:05,,,MISSEDJUMPERbyBrimahAmida
MISSEDLAYUPbyAMAYOKelvin,04:53,,,BLOCKbyBrimahAmida
,04:51,,,REBOUND(DEF)byLarrierTerry
,04:46,57-58,+1,GOOD!LAYUPbyLarrierTerry[FB/PNT]
MISSEDLAYUPbyAMAYOKelvin,04:26,,,
REBOUND(OFF)byJOHNSONShamar,04:26,,,
MISSEDLAYUPbyJOHNSONShamar,04:23,,,
REBOUND(OFF)byJOHNSONShamar,04:23,,,
GOOD!FTSHOTbyAMAYOKelvin,04:22,58-58,-0,FOULbyBrimahAmida(P3T5)
MISSEDFTSHOTbyAMAYOKelvin,04:22,,,REBOUND(DEF)byFaceyKentan
REBOUND(DEF)byBROWNBrandon,04:00,,,MISSEDLAYUPbyFaceyKentan
GOOD!LAYUPbyTUACHBuay[PNT],03:50,60-58,-2,
,03:43,,,TIMEOUT30sec
,03:43,,,TIMEOUTMEDIA
,03:43,,,SUBIN:PurvisRodney
,03:43,,,SUBOUT:FaceyKentan
,03:33,60-61,+1,GOOD!3PTRbyVitalChristian
,03:33,,,ASSISTbyPurvisRodney
MISSEDFTSHOTbyBROWNBrandon,03:19,,,FOULbyAdamsJalen(P2T6)
REBOUND(OFF)by(DEADBALL),03:19,,,
GOOD!FTSHOTbyBROWNBrandon,03:19,61-61,-0,
SUBIN:McCLENDONJeffery,03:19,,,
SUBOUT:HANEYSteven,03:19,,,
,02:51,,,TURNOVRbyPurvisRodney
STEALbyBROWNBrandon,02:50,,,
MISSEDFTSHOTbyTUACHBuay,02:47,,,FOULbyAdamsJalen(P3T7)
REBOUND(OFF)by(DEADBALL),02:47,,,
GOOD!FTSHOTbyTUACHBuay,02:47,62-61,-1,
,02:26,,,MISSEDJUMPERbyAdamsJalen
,02:26,,,REBOUND(OFF)byLarrierTerry
,02:22,62-63,+1,GOOD!LAYUPbyLarrierTerry[PNT]
TURNOVRby(TEAM),01:48,,,
,01:29,,,MISSEDJUMPERbyAdamsJalen
