PLAYUC,TIME,SCORE,MAR,PLAYVisitor
MISSED3PTRbyPurvisRodney,06:13,,,
REBOUND(OFF)by(TEAM),06:13,,,
,06:13,,,FOULbyHAVENERNick(P2T6)
GOOD!FTSHOTbyBrimahAmida,05:59,39-34,5,FOULbyALSTONJustin(P3T7)
MISSEDFTSHOTbyBrimahAmida,05:59,,,REBOUND(DEF)byHAVENERNick
,05:40,39-36,3,GOOD!LAYUPbyALSTONJustin[PNT]
,05:40,,,ASSISTbyHAVENERNick
FOULbyBrimahAmida(P2T9),05:40,,,MISSEDFTSHOTbyALSTONJustin
REBOUND(DEF)byBrimahAmida,05:40,,,
GOOD!JUMPERbyVitalChristian,05:20,41-36,5,
REBOUND(DEF)byBrimahAmida,04:53,,,MISSED3PTRbyMOSELYCheddi
MISSEDJUMPERbyAdamsJalen,04:38,,,
REBOUND(OFF)byAdamsJalen,04:38,,,
GOOD!JUMPERbyBrimahAmida,04:12,43-36,7,
REBOUND(DEF)byBrimahAmida,04:03,,,MISSED3PTRbyHANKERSONCedric
MISSEDJUMPERbyAdamsJalen,03:38,,,REBOUND(DEF)byHANKERSONCedric
REBOUND(DEF)byFaceyKentan,03:23,,,MISSEDJUMPERbyHAVENERNick
TIMEOUT30sec,03:12,,,
,03:12,,,SUBIN:FANNINGEric
,03:12,,,SUBOUT:HAVENERNick
MISSED3PTRbyVitalChristian,02:54,,,
REBOUND(OFF)byVitalChristian,02:54,,,
,02:51,,,FOULbyHANKERSONCedric(P2T8)
TIMEOUTmedia,02:51,,,
MISSEDFTSHOTbyVitalChristian,02:51,,,
REBOUND(OFF)by(DEADBALL),02:51,,,
GOOD!FTSHOTbyVitalChristian,02:51,44-36,8,
,02:42,44-38,6,GOOD!LAYUPbyFANNINGEric[PNT]
FOULbyFaceyKentan(P3T10),02:42,44-39,5,GOOD!FTSHOTbyFANNINGEric
MISSEDJUMPERbyBrimahAmida,02:20,,,REBOUND(DEF)byALSTONJustin
BLOCKbyBrimahAmida,02:12,,,MISSEDJUMPERbyHANKERSONCedric
,02:12,,,REBOUND(OFF)by(TEAM)
,02:09,44-41,3,GOOD!LAYUPbyFANNINGEric[PNT]
,02:09,,,ASSISTbyFOREMANKyle
GOOD!JUMPERbyAdamsJalen,01:46,46-41,5,
ASSISTbyFaceyKentan,01:42,,,
BLOCKbyBrimahAmida,01:27,,,MISSEDLAYUPbyFOREMANKyle
REBOUND(DEF)byFaceyKentan,01:25,,,
MISSEDDUNKbyBrimahAmida,01:02,,,REBOUND(DEF)by(TEAM)
,00:59,,,TIMEOUTTEAM
,00:59,,,SUBIN:SCANLONTyler
,00:59,,,SUBOUT:HANKERSONCedric
,00:41,46-43,3,GOOD!LAYUPbyFANNINGEric[PNT]
TURNOVRbyVitalChristian,00:27,,,
,00:26,,,STEALbyFANNINGEric
REBOUND(DEF)byVitalChristian,00:20,,,MISSED3PTRbySCANLONTyler
GOOD!FTSHOTbyVitalChristian,00:19,47-43,4,FOULbyALSTONJustin(P4T9)
MISSEDFTSHOTbyVitalChristian,00:19,,,
REBOUND(OFF)by(TEAM),00:19,,,
SUBIN:JacksonVance,00:19,,,
SUBOUT:BrimahAmida,00:19,,,
TIMEOUTTEAM,00:17,,,
SUBIN:EnochSteven,00:17,,,
SUBOUT:FaceyKentan,00:17,,,
GOOD!FTSHOTbyJacksonVance,00:15,48-43,5,FOULbySCANLONTyler(P2T10)
GOOD!FTSHOTbyJacksonVance,00:15,49-43,6,
SUBIN:FaceyKentan,00:15,,,
SUBOUT:EnochSteven,00:15,,,
FOULbyVitalChristian(P4T11),00:10,49-44,5,GOOD!FTSHOTbyFOREMANKyle
,00:10,49-45,4,GOOD!FTSHOTbyFOREMANKyle
TIMEOUT30sec,00:10,,,
,00:10,,,SUBIN:HAVENERNick
,00:10,,,SUBIN:HANKERSONCedric
,00:10,,,SUBOUT:ALSTONJustin
,00:10,,,SUBOUT:SCANLONTyler
MISSEDFTSHOTbyJacksonVance,00:09,,,FOULbyFANNINGEric(P3T11)
REBOUND(OFF)by(DEADBALL),00:09,,,
GOOD!FTSHOTbyJacksonVance,00:09,50-45,5,
,00:09,,,SUBIN:SCANLONTyler
,00:09,,,SUBOUT:HAVENERNick
,00:05,50-48,2,GOOD!3PTRbyMOSELYCheddi[FB]
,00:05,,,ASSISTbyFOREMANKyle
,00:04,,,TIMEOUT30sec
,00:04,,,SUBIN:HAVENERNick
,00:04,,,SUBOUT:SCANLONTyler
MISSEDFTSHOTbyAdamsJalen,00:03,,,FOULbyFANNINGEric(P4T12)
REBOUND(OFF)by(DEADBALL),00:03,,,
GOOD!FTSHOTbyAdamsJalen,00:03,51-48,3,
,00:03,,,SUBIN:SCANLONTyler
,00:03,,,SUBOUT:HAVENERNick
FOULbyJacksonVance(P1T12),00:02,,,
,00:01,51-49,2,GOOD!FTSHOTbyFOREMANKyle
REBOUND(DEF)byFaceyKentan,00:01,,,MISSEDFTSHOTbyFOREMANKyle
SUBIN:EnochSteven,00:01,,,SUBIN:HAVENERNick
SUBIN:BrimahAmida,00:01,,,SUBIN:ALSTONJustin
SUBOUT:JacksonVance,00:01,,,SUBOUT:SCANLONTyler
SUBOUT:VitalChristian,00:01,,,SUBOUT:FANNINGEric
