PLAYHome,TIME,SCORE,MAR,PLAYUC
FOULbyThompsonTrevor(P1T2),09:29,,,MISSEDFTSHOTbyEnochSteven
,09:29,,,REBOUND(OFF)by(DEADBALL)
REBOUND(DEF)byThompsonTrevor,09:29,,,MISSEDFTSHOTbyEnochSteven
MISSEDJUMPERbyWilliamsKam,09:15,,,
REBOUND(OFF)by(TEAM),09:15,,,
,09:11,,,SUBIN:FaceyKentan
,09:11,,,SUBOUT:JacksonVance
MISSEDLAYUPbyTateJae'Sean,09:07,,,REBOUND(DEF)byEnochSteven
,08:57,,,TURNOVRbyEnochSteven
TURNOVRbyWilliamsKam,08:34,,,
REBOUND(DEF)byThompsonTrevor,08:17,,,MISSED3PTRbyAdamsJalen
GOOD!FTSHOTbyThompsonTrevor,08:01,48-47,1,FOULbyEnochSteven(P3T9)
GOOD!FTSHOTbyThompsonTrevor,08:01,49-47,2,
SUBIN:LovingMarc,08:01,,,
SUBOUT:WilliamsKam,08:01,,,
REBOUND(DEF)byThompsonTrevor,07:48,,,MISSEDJUMPERbyPurvisRodney
MISSED3PTRbyLyleJaQuan,07:39,,,REBOUND(DEF)byVitalChristian
FOULbyLyleJaQuan(P1T3),07:11,,,
,07:11,,,TIMEOUTMEDIA
,06:57,49-50,-1,GOOD!3PTRbyPurvisRodney
,06:57,,,ASSISTbyAdamsJalen
MISSEDLAYUPbyBates-DiopKeita,06:37,,,REBOUND(DEF)byEnochSteven
,06:20,,,TURNOVRbyPurvisRodney
GOOD!LAYUPbyLyleJaQuan[PNT],06:01,51-50,1,
,05:35,,,MISSED3PTRbyPurvisRodney
,05:35,,,REBOUND(OFF)byFaceyKentan
REBOUND(DEF)byThompsonTrevor,05:11,,,MISSED3PTRbyVitalChristian
MISSED3PTRbyBates-DiopKeita,04:38,,,REBOUND(DEF)byFaceyKentan
BLOCKbyBates-DiopKeita,04:30,,,MISSEDLAYUPbyAdamsJalen
REBOUND(DEF)byThompsonTrevor,04:28,,,
MISSEDFTSHOTbyTateJae'Sean,04:24,,,FOULbyPurvisRodney(P3T10)
REBOUND(OFF)by(DEADBALL),04:24,,,
GOOD!FTSHOTbyTateJae'Sean,04:24,52-50,2,
,04:24,,,SUBIN:JacksonVance
,04:24,,,SUBIN:BrimahAmida
,04:24,,,SUBOUT:VitalChristian
,04:24,,,SUBOUT:EnochSteven
